_fid;idnr;benennung;belegenheit;belegenheit_detail;gruen_code;gruen_art;bezirk;stadtteil;ortsteil;gemarkung;aktualitaet;flaeche_ha;veroeffentlichung_jahr;eigentum;verwaltungsvermoegen;geom;coordinate_reference_system
DE.HH.UP_KLEINGARTENANLAGEN_1805;006290;;Eichenlohweg;Eichenlohweg;65;Grün an Kleingärten;Wandsbek;Steilshoop;516;0;01.10.2025;0,2009;;FHH;Stadtgrün;POLYGON ((569683.702000 5941310.707000,569657.026900 5941226.189800,569644.157900 5941230.250800,569627.492800 5941235.509500,569604.263400 5941242.839600,569611.825700 5941266.804600,569614.354900 5941274.818400,569614.358000 5941274.818100,569631.654600 5941273.254000,569635.917900 5941273.072700,569639.050100 5941282.384700,569643.158700 5941295.533000,569644.071800 5941298.180800,569643.965400 5941299.528000,569643.889100 5941299.550400,569642.793600 5941301.102500,569641.150200 5941302.289400,569639.050300 5941303.567600,569636.859100 5941304.663200,569635.489500 5941305.484800,569633.846200 5941306.032600,569631.654900 5941306.397700,569630.194200 5941306.489000,569629.555100 5941306.306400,569627.729100 5941303.293200,569618.507500 5941287.223000,569618.000000 5941286.357100,569617.992900 5941286.345000,569630.938000 5941327.360000,569683.702000 5941310.707000),(569656.192600 5941317.145100,569652.261300 5941304.099500,569654.405600 5941303.563600,569642.790100 5941265.499100,569624.920500 5941265.677000,569612.233200 5941264.068100,569610.982100 5941245.482800,569653.077100 5941233.280100,569654.941200 5941238.872800,569661.017000 5941258.530500,569665.127000 5941271.933400,569671.560100 5941293.199500,569676.206300 5941307.674600,569677.070300 5941311.624200,569656.192600 5941317.145100));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1806;006291;;Fabriciusstraße - Günselstieg;Fabriciusstraße - Günselstieg;65;Grün an Kleingärten;Wandsbek;Bramfeld;515;0;01.10.2025;0,2330;;FHH;Gewässer;POLYGON ((570659.024200 5941033.425700,570657.278100 5941032.430400,570656.469500 5941035.988200,570655.754200 5941039.135400,570654.230300 5941042.945100,570651.944500 5941051.631400,570650.420600 5941059.403000,570649.201400 5941067.022400,570648.744200 5941074.641700,570648.744100 5941085.461100,570649.353600 5941093.689900,570651.016900 5941105.563800,570652.096500 5941112.280800,570653.772700 5941122.338100,570657.125200 5941136.052400,570659.715700 5941144.281100,570663.677800 5941153.881100,570667.182600 5941162.719200,570671.837400 5941175.293000,570675.259200 5941184.052600,570677.840300 5941190.549600,570679.678400 5941195.176400,570684.402500 5941204.014400,570688.516900 5941213.309600,570689.758800 5941215.747300,570692.631500 5941221.385800,570699.641300 5941233.119100,570704.099800 5941241.090000,570711.840200 5941238.082900,570696.259300 5941213.717700,570694.132400 5941210.391700,570693.773700 5941209.690900,570693.374400 5941208.910900,570693.511900 5941208.841500,570693.409000 5941208.637000,570692.509300 5941206.848400,570690.751000 5941203.353000,570687.651900 5941195.808600,570684.510600 5941188.008800,570681.010700 5941179.642200,570681.008100 5941179.635100,570678.784500 5941172.886500,570676.294900 5941165.331100,570676.294000 5941165.328200,570674.296500 5941158.584800,570672.019000 5941150.895000,570668.010800 5941136.367700,570664.327600 5941121.319500,570662.336700 5941111.481600,570661.809900 5941105.492500,570661.994600 5941099.476900,570662.654700 5941093.486500,570665.656800 5941071.379700,570667.010900 5941063.450500,570668.885800 5941055.656300,570670.720900 5941049.976700,570672.095400 5941046.938200,570673.205000 5941044.486000,570674.649000 5941037.263000,570659.024200 5941033.425700));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1807;006292;;Fabriciusstraße - Günselstieg;Fabriciusstraße - Günselstieg;65;Grün an Kleingärten;Wandsbek;Bramfeld;515;0;01.10.2025;0,0543;;FHH;AGV;POLYGON ((570664.542900 5941014.537000,570681.998800 5941014.719700,570682.431900 5941012.643300,570679.591000 5941004.120800,570675.413400 5940992.924900,570675.400700 5940992.746000,570673.408300 5940964.683700,570673.074100 5940961.341500,570677.782000 5940936.588700,570669.004900 5940939.511000,570670.027800 5940949.939000,570670.325800 5940964.049000,570669.972200 5940978.036700,570668.886000 5940991.980900,570668.259800 5940995.358700,570664.987000 5941013.016700,570664.542900 5941014.537000));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1808;006286;;Twisselwisch;Twisselwisch;65;Grün an Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,0592;;FHH;Stadtgrün;POLYGON ((565844.987100 5945597.948300,565844.036000 5945601.548000,565842.440000 5945601.809000,565840.611100 5945601.286900,565867.731600 5945621.506100,565934.791800 5945671.104800,565936.724300 5945666.356200,565844.987100 5945597.948300));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1809;006287;;Twisselwisch;Twisselwisch;65;Grün an Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,0026;;FHH;Gewässer;POLYGON ((565840.853100 5945594.865600,565838.856200 5945599.978800,565840.611100 5945601.286900,565842.440000 5945601.809000,565844.036000 5945601.548000,565844.987100 5945597.948300,565840.853100 5945594.865600));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1810;006348;;Beckermannweg;Beckermannweg;65;Grün an Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,0610;;FHH;Stadtgrün;POLYGON ((566875.839600 5946844.597000,566875.830000 5946844.354000,566868.541800 5946842.584400,566868.448500 5946842.616900,566852.533100 5946848.039600,566844.396600 5946850.832800,566808.168300 5946863.269600,566809.267200 5946871.910400,566811.535100 5946889.744100,566811.721000 5946891.206700,566829.999400 5946892.512800,566830.889000 5946868.180900,566834.301100 5946868.329300,566834.597500 5946859.575800,566854.773100 5946851.861000,566874.355300 5946844.443000,566875.075400 5946844.215500,566875.572700 5946844.335500,566875.839600 5946844.597000),(566822.581300 5946868.032400,566821.691200 5946869.219300,566822.284700 5946870.554600,566826.586900 5946870.406300,566828.219200 5946888.061700,566813.429900 5946889.553100,566811.353600 5946871.699100,566816.795700 5946871.148100,566815.608900 5946869.219300,566814.422000 5946868.180700,566822.581300 5946868.032400));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1811;006360;401 Diekmoor;Foorthkamp - Weg Nr. 396;Foorthkamp - Weg Nr. 396;61;Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,0024;;FHH;Stadtgrün;POLYGON ((567027.102700 5946527.764800,567015.980800 5946531.138100,567016.458200 5946531.350200,567017.692700 5946531.898900,567019.425900 5946532.621000,567021.736800 5946532.476600,567024.625400 5946531.465400,567026.358400 5946529.154200,567027.102700 5946527.764800));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1812;006361;401 Diekmoor;Foorthkamp - Weg Nr. 396;Foorthkamp - Weg Nr. 396;61;Kleingärten;Hamburg-Nord;Langenhorn;432;0;01.10.2025;0,0373;;FHH;Stadtgrün;POLYGON ((567067.330000 5946513.861500,567029.835800 5946526.476500,567030.102400 5946526.754400,567035.313300 5946532.187300,567069.130500 5946527.274800,567069.109900 5946526.986500,567067.375900 5946514.199900,567067.330000 5946513.861500));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1813;001587;;Felix-Jud-Ring;Felix-Jud-Ring;65;Grün an Kleingärten;Bergedorf;Neuallermöhe;615;0;01.10.2025;0,5554;;FHH;Stadtgrün / Gewässer;POLYGON ((576960.395000 5926463.442000,577019.691200 5926447.233000,577036.316000 5926442.592300,577041.298300 5926441.787600,577042.204900 5926434.534900,577042.884900 5926421.389400,577040.845000 5926405.977400,577038.805200 5926401.671100,577033.365700 5926394.645000,577014.327400 5926372.207000,576995.062400 5926349.542300,576947.697200 5926300.487300,576918.011800 5926280.366200,576917.978400 5926280.358300,576895.800400 5926259.635800,576885.777500 5926250.271500,576872.324600 5926237.702700,576862.006700 5926228.062600,576862.006700 5926228.205100,576861.372300 5926229.027400,576861.372000 5926229.227000,576860.836000 5926230.765000,576859.454000 5926234.725000,576859.289000 5926236.104000,576856.377000 5926244.570000,576855.208800 5926246.498900,576854.323300 5926248.564900,576850.865700 5926253.943000,576848.436100 5926256.169900,576848.260000 5926256.379000,576848.140000 5926256.543000,576846.375000 5926258.397000,576840.461000 5926259.832000,576836.161700 5926259.091300,576832.639900 5926262.040700,576887.716000 5926305.700000,576898.533200 5926314.763100,576908.844500 5926324.397800,576918.619800 5926334.576000,576927.830500 5926345.267700,576936.449600 5926356.441800,576944.452000 5926368.065600,576951.814300 5926380.105100,576958.514800 5926392.525000,576964.534000 5926405.289000,576964.527800 5926405.291300,576964.533500 5926405.304000,576944.365300 5926412.643800,576944.695000 5926413.543000,576947.173000 5926420.287000,576949.669000 5926427.082000,576952.753000 5926435.477000,576952.748600 5926435.478200,576952.752900 5926435.489900,576923.829900 5926443.395500,576924.602500 5926446.223100,576959.706500 5926437.785400,576956.943600 5926425.351700,576967.600900 5926421.800200,576968.390300 5926421.997600,576971.542400 5926435.270800,576968.625000 5926435.668400,576970.299200 5926441.647800,576935.380000 5926450.494600,576926.324900 5926452.526700,576930.624500 5926468.262100,576931.468000 5926471.349000,576960.395000 5926463.442000),(576984.171100 5926442.127400,576989.672200 5926432.561000,576995.412400 5926421.081200,577000.435200 5926408.884000,577003.544500 5926402.426700,577005.458000 5926400.752700,577010.480500 5926410.319900,577012.482200 5926409.884900,577012.407700 5926409.623700,577012.075100 5926408.509200,577011.390300 5926406.286100,577011.036900 5926405.195500,577010.314900 5926402.966700,577010.307500 5926402.945200,577009.181100 5926399.666700,577008.790700 5926398.571000,577008.786400 5926398.558800,577008.689200 5926398.291300,577008.393800 5926397.477800,577008.389600 5926397.466400,577007.990200 5926396.387000,577007.580700 5926395.298300,577007.372800 5926394.755100,577007.164700 5926394.212200,577006.742200 5926393.128600,577006.728600 5926393.094000,577006.687900 5926392.991200,577014.091000 5926379.727200,577031.024300 5926397.718900,577035.892700 5926409.360600,577037.797700 5926423.542300,577036.487200 5926440.391700,577019.472200 5926445.131100,576977.048000 5926456.809300,576975.453100 5926453.134200,576979.682900 5926448.765800,576984.171100 5926442.127400),(576918.963600 5926317.533300,576913.067600 5926322.067600,576908.714600 5926317.632200,576901.077900 5926310.528600,576877.812400 5926291.705700,576870.979700 5926286.072600,576867.689300 5926283.359900,576855.435000 5926273.238300,576848.927300 5926267.639600,576848.680400 5926265.356500,576851.997000 5926260.842700,576856.695400 5926254.026000,576860.656900 5926250.157000,576865.447500 5926246.656500,576872.633700 5926248.222400,576877.885300 5926251.170300,576880.004300 5926252.552000,576885.560200 5926259.781600,576897.668600 5926271.470700,576905.184200 5926278.707400,576911.586400 5926283.300200,576913.952300 5926283.161300,576922.998800 5926290.259100,576929.122600 5926295.269300,576934.550400 5926300.001100,576938.621400 5926303.853800,576935.246500 5926305.428300,576927.313700 5926311.272100,576918.963600 5926317.533300),(577001.152900 5926393.337900,576991.585800 5926417.254100,576987.519800 5926426.342300,576983.214600 5926433.038700,576979.148600 5926434.234300,576976.591000 5926434.582800,576976.087000 5926432.063400,576973.916300 5926420.616600,576969.377300 5926407.393200,576963.654200 5926391.998900,576956.944200 5926378.972600,576950.234200 5926368.314700,576949.524300 5926367.179200,576946.762300 5926362.267900,576939.820000 5926352.433600,576935.770400 5926347.805600,576928.635200 5926338.357100,576919.957400 5926329.294100,576915.634800 5926324.683600,576914.740500 5926323.772400,576917.989400 5926320.733800,576924.669600 5926315.724800,576927.870500 5926313.916100,576932.602300 5926310.994400,576938.725800 5926306.959400,576940.959200 5926306.066400,576942.344400 5926307.377200,576951.390800 5926314.057600,576960.158900 5926322.268800,576962.634900 5926324.440700,576968.091900 5926329.227500,576969.935800 5926329.872900,576970.251500 5926330.318400,576970.670000 5926330.908900,576973.292900 5926334.609700,576977.133000 5926340.233000,576979.195700 5926343.253900,576979.741200 5926344.083500,576981.363300 5926346.550400,576983.377300 5926349.613100,576984.946700 5926351.999700,576989.911000 5926359.844500,576990.544000 5926360.844800,576990.700400 5926361.098600,576991.213500 5926361.931100,576993.008600 5926364.923100,576994.751200 5926367.945800,576995.679500 5926369.623200,576996.364900 5926370.861700,576996.440600 5926370.998500,576996.617500 5926371.331700,576997.285800 5926372.590600,576998.076500 5926374.080500,576999.658400 5926377.190600,577001.185800 5926380.327900,577001.404200 5926380.797200,577001.650300 5926381.326000,577002.658100 5926383.491300,577003.488500 5926385.359900,577004.075500 5926386.679700,577002.990100 5926389.152400,577001.152900 5926393.337900));EPSG:25832
DE.HH.UP_KLEINGARTENANLAGEN_1814;001982;;Kampmoortwiete;Kampmoortwiete;65;Grün an Kleingärten;Hamburg-Mitte;Billstedt;130;0;01.10.2025;0,7606;;FHH;Stadtgrün;POLYGON ((575202.996000 5933540.738000,575202.105500 5933533.829400,575185.676200 5933529.187400,575185.671900 5933529.175800,575185.655000 5933529.171000,575162.296500 5933465.644100,575151.319300 5933462.043500,575058.871000 5933431.717000,574984.787700 5933407.413900,574953.647800 5933397.199700,574939.738000 5933365.654000,574934.777000 5933366.293900,574958.702000 5933432.310000,574964.617000 5933446.378000,574979.578000 5933478.081000,574985.711000 5933493.955000,574989.694000 5933503.421300,574995.064000 5933505.626000,575000.062000 5933507.678000,575005.246000 5933509.808000,575010.430000 5933511.937000,575015.614000 5933514.066000,575028.958000 5933519.546000,575034.094000 5933521.655000,575041.903000 5933524.863000,575046.896000 5933526.913000,575054.204000 5933529.914000,575073.595000 5933537.878000,575087.664000 5933537.596000,575097.017000 5933537.271000,575108.548000 5933537.398000,575118.759000 5933538.154000,575121.215000 5933538.131000,575160.077000 5933541.170000,575183.566000 5933541.848000,575202.996000 5933540.738000),(575121.826800 5933537.578200,575119.719900 5933527.387500,575111.617500 5933527.387500,575111.274300 5933532.538900,575099.597300 5933532.538800,575096.849900 5933532.538800,575097.536300 5933521.892700,575109.900000 5933521.892800,575111.617300 5933522.236100,575111.960800 5933524.640100,575119.087800 5933524.330300,575109.211900 5933476.561700,575159.374500 5933466.704200,575172.062500 5933528.074700,575121.826800 5933537.578200),(575105.777400 5933474.501100,575079.131200 5933535.757800,574991.757900 5933498.883500,574991.444100 5933498.655300,574991.414500 5933498.196700,574999.655900 5933477.591300,574980.767600 5933469.693000,574975.616000 5933460.077300,574986.947900 5933432.603400,574957.322500 5933419.948300,574957.069900 5933419.553700,574957.069800 5933417.493300,574960.847100 5933409.251100,575105.777300 5933469.693300,575105.777400 5933474.501100));EPSG:25832
